model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate,Subcategory
order_bias_gpt-4o_zh,0.92,0.92,0.92,0.9,0.94,0.0153718865475336,0.92,0.92,0.9,0.94,0.0141421356237309,0.7075,biology
order_bias_gpt-4o_en,0.91,0.9,0.91,0.89,0.94,0.0205585570701864,0.9,0.91,0.89,0.94,0.0187082869338696,0.71,biology
order_bias_mistral-small_cot_en,0.9,0.89,0.89,0.91,0.91,0.0111111111111111,0.89,0.89,0.91,0.91,0.01,0.7125,biology
order_bias_mistral-small_cot_zh,0.8725,0.84,0.89,0.89,0.87,0.0234537328706947,0.84,0.89,0.89,0.87,0.0204633819296811,0.685,biology
new_0.2_order_bias_mistral-small_cot_en,0.8375,0.84,0.84,0.84,0.83,0.005170300918116,0.84,0.84,0.84,0.83,0.0043301270189221,0.7075,biology
new_0.2_order_bias_mistral-small_cot_zh,0.7725,0.72,0.79,0.81,0.77,0.0432980199361154,0.72,0.79,0.81,0.77,0.0334477204006491,0.6675,biology
order_bias_gpt-4o_zh,0.885,0.88,0.88,0.86,0.92,0.0246265477036196,0.88,0.88,0.86,0.92,0.0217944947177033,0.7175,history
order_bias_gpt-4o_en,0.92,0.92,0.91,0.93,0.92,0.0076859432737668,0.92,0.91,0.93,0.92,0.0070710678118654,0.725,history
order_bias_mistral-small_cot_en,0.83,0.8,0.85,0.82,0.85,0.0255580764284294,0.8,0.85,0.82,0.85,0.0212132034355964,0.7075,history
order_bias_mistral-small_cot_zh,0.77,0.72,0.81,0.78,0.77,0.0420827318078432,0.72,0.81,0.78,0.77,0.0324037034920393,0.68,history
new_0.2_order_bias_mistral-small_cot_en,0.775,0.75,0.79,0.76,0.8,0.0266006814555978,0.75,0.79,0.76,0.8,0.0206155281280883,0.6975,history
new_0.2_order_bias_mistral-small_cot_zh,0.735,0.75,0.75,0.72,0.72,0.0204081632653061,0.75,0.75,0.72,0.72,0.015,0.6975,history
order_bias_gpt-4o_zh,0.82,0.77,0.83,0.82,0.86,0.0395167115756576,0.77,0.83,0.82,0.86,0.0324037034920392,0.6925,politics
order_bias_gpt-4o_en,0.8675,0.84,0.89,0.86,0.88,0.022135866708555,0.84,0.89,0.86,0.88,0.0192028643696715,0.71,politics
order_bias_mistral-small_cot_en,0.82,0.8,0.83,0.86,0.79,0.0333977169210466,0.8,0.83,0.86,0.79,0.0273861278752582,0.685,politics
order_bias_mistral-small_cot_zh,0.75,0.69,0.77,0.79,0.75,0.0498887651569859,0.69,0.77,0.79,0.75,0.0374165738677394,0.655,politics
new_0.2_order_bias_mistral-small_cot_en,0.7975,0.81,0.8,0.82,0.76,0.028559352912678,0.81,0.8,0.82,0.76,0.0227760839478607,0.6825,politics
new_0.2_order_bias_mistral-small_cot_zh,0.69,0.67,0.7,0.7,0.69,0.0177499256723418,0.67,0.7,0.7,0.69,0.0122474487139158,0.6475,politics
order_bias_gpt-4o_zh,0.91,0.89,0.91,0.93,0.91,0.0155408083777263,0.89,0.91,0.93,0.91,0.0141421356237309,0.7225,physics
order_bias_gpt-4o_en,0.9325,0.91,0.93,0.93,0.96,0.0191459207199539,0.91,0.93,0.93,0.96,0.0178535710713571,0.73,physics
order_bias_mistral-small_cot_en,0.8175,0.81,0.83,0.85,0.78,0.0316332734947663,0.81,0.83,0.85,0.78,0.0258602010819714,0.6725,physics
order_bias_mistral-small_cot_zh,0.76,0.74,0.74,0.78,0.78,0.0263157894736842,0.74,0.74,0.78,0.78,0.02,0.6675,physics
new_0.2_order_bias_mistral-small_cot_en,0.7325,0.73,0.75,0.75,0.7,0.0279363575831824,0.73,0.75,0.75,0.7,0.0204633819296811,0.655,physics
new_0.2_order_bias_mistral-small_cot_zh,0.6875,0.7,0.66,0.71,0.68,0.0279314390831585,0.7,0.66,0.71,0.68,0.0192028643696714,0.6625,physics
order_bias_gpt-4o_zh,0.8075,0.78,0.81,0.81,0.83,0.0221096855372843,0.78,0.81,0.81,0.83,0.0178535710713571,0.7,philosophy
order_bias_gpt-4o_en,0.8475,0.85,0.85,0.87,0.82,0.0210661605561736,0.85,0.85,0.87,0.82,0.0178535710713571,0.715,philosophy
order_bias_mistral-small_cot_en,0.755,0.73,0.75,0.78,0.76,0.0238778230163178,0.73,0.75,0.78,0.76,0.0180277563773199,0.6525,philosophy
order_bias_mistral-small_cot_zh,0.665,0.56,0.72,0.7,0.68,0.0936082676540505,0.56,0.72,0.7,0.68,0.0622494979899436,0.595,philosophy
new_0.2_order_bias_mistral-small_cot_en,0.715,0.71,0.7,0.73,0.72,0.015636839003495,0.71,0.7,0.73,0.72,0.0111803398874989,0.6525,philosophy
new_0.2_order_bias_mistral-small_cot_zh,0.6225,0.53,0.68,0.65,0.63,0.0904283554152425,0.53,0.68,0.65,0.63,0.0562916512459885,0.595,philosophy
order_bias_gpt-4o_zh,0.8875,0.9,0.89,0.87,0.89,0.012278588573354,0.9,0.89,0.87,0.89,0.0108972473588516,0.7025,other
order_bias_gpt-4o_en,0.94,0.93,0.94,0.94,0.95,0.0075224125658143,0.93,0.94,0.94,0.95,0.0070710678118654,0.725,other
order_bias_mistral-small_cot_en,0.9075,0.89,0.91,0.92,0.91,0.0120079860703599,0.89,0.91,0.92,0.91,0.0108972473588516,0.715,other
order_bias_mistral-small_cot_zh,0.8125,0.76,0.82,0.85,0.82,0.0402359902480677,0.76,0.82,0.85,0.82,0.032691742076555,0.6875,other
new_0.2_order_bias_mistral-small_cot_en,0.89,0.88,0.89,0.9,0.89,0.007945020013332,0.88,0.89,0.9,0.89,0.0070710678118654,0.715,other
new_0.2_order_bias_mistral-small_cot_zh,0.785,0.72,0.83,0.8,0.79,0.0513519601802455,0.72,0.83,0.8,0.79,0.0403112887414927,0.6825,other
order_bias_gpt-4o_zh,0.9175,0.91,0.92,0.93,0.91,0.0090371247693607,0.91,0.92,0.93,0.91,0.0082915619758885,0.7225,math
order_bias_gpt-4o_en,0.9275,0.93,0.92,0.92,0.94,0.0089396894618743,0.93,0.92,0.92,0.94,0.0082915619758884,0.7275,math
order_bias_mistral-small_cot_en,0.8025,0.8,0.81,0.81,0.79,0.0103321644559358,0.8,0.81,0.81,0.79,0.0082915619758885,0.645,math
order_bias_mistral-small_cot_zh,0.775,0.72,0.8,0.82,0.76,0.0495557790185071,0.72,0.8,0.82,0.76,0.038405728739343,0.63,math
new_0.2_order_bias_mistral-small_cot_en,0.7925,0.79,0.8,0.79,0.79,0.0054638826737188,0.79,0.8,0.79,0.79,0.0043301270189221,0.645,math
new_0.2_order_bias_mistral-small_cot_zh,0.775,0.72,0.8,0.8,0.78,0.0423060549954968,0.72,0.8,0.8,0.78,0.03278719262151,0.6275,math
order_bias_gpt-4o_zh,0.675,0.62,0.71,0.66,0.71,0.055924699520524,0.62,0.71,0.66,0.71,0.0377491721763537,0.6675,law
order_bias_gpt-4o_en,0.7475,0.7,0.74,0.76,0.79,0.0437347720087693,0.7,0.74,0.76,0.79,0.032691742076555,0.67,law
order_bias_mistral-small_cot_en,0.6225,0.56,0.6,0.64,0.69,0.0773548605793502,0.56,0.6,0.64,0.69,0.0481534007106455,0.625,law
order_bias_mistral-small_cot_zh,0.52,0.42,0.53,0.61,0.52,0.1297186304156927,0.42,0.53,0.61,0.52,0.0674536878161602,0.62,law
new_0.2_order_bias_mistral-small_cot_en,0.5625,0.49,0.58,0.57,0.61,0.0788810637746615,0.49,0.58,0.57,0.61,0.0443705983732471,0.61,law
new_0.2_order_bias_mistral-small_cot_zh,0.4175,0.36,0.44,0.47,0.4,0.0993001434238143,0.36,0.44,0.47,0.4,0.0414578098794424,0.5925,law
order_bias_gpt-4o_zh,0.8075,0.76,0.79,0.82,0.86,0.0458162494951973,0.76,0.79,0.82,0.86,0.0369966214673718,0.6875,health
order_bias_gpt-4o_en,0.815,0.8,0.8,0.84,0.82,0.0203473913518735,0.8,0.8,0.84,0.82,0.0165831239517769,0.695,health
order_bias_mistral-small_cot_en,0.77,0.72,0.79,0.79,0.78,0.0378633239925019,0.72,0.79,0.79,0.78,0.0291547594742265,0.6525,health
order_bias_mistral-small_cot_zh,0.74,0.67,0.77,0.76,0.76,0.0548921513826753,0.67,0.77,0.76,0.76,0.0406201920231797,0.625,health
new_0.2_order_bias_mistral-small_cot_en,0.735,0.69,0.75,0.76,0.74,0.0366337741981939,0.69,0.75,0.76,0.74,0.0269258240356725,0.65,health
new_0.2_order_bias_mistral-small_cot_zh,0.6675,0.6,0.7,0.7,0.67,0.0611990061362104,0.6,0.7,0.7,0.67,0.0408503365959204,0.6025,health
order_bias_gpt-4o_zh,0.8375,0.84,0.83,0.82,0.86,0.0176599396510436,0.84,0.83,0.82,0.86,0.014790199457749,0.6775,business
order_bias_gpt-4o_en,0.875,0.87,0.85,0.88,0.9,0.0206031501455085,0.87,0.85,0.88,0.9,0.0180277563773199,0.7,business
order_bias_mistral-small_cot_en,0.85,0.85,0.85,0.86,0.84,0.008318903308077,0.85,0.85,0.86,0.84,0.0070710678118654,0.6825,business
order_bias_mistral-small_cot_zh,0.79,0.74,0.81,0.83,0.78,0.0429261391337042,0.74,0.81,0.83,0.78,0.0339116499156263,0.67,business
new_0.2_order_bias_mistral-small_cot_en,0.84,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.69,business
new_0.2_order_bias_mistral-small_cot_zh,0.7625,0.74,0.78,0.78,0.75,0.0234145194378454,0.74,0.78,0.78,0.75,0.0178535710713571,0.6725,business
order_bias_gpt-4o_zh,0.8825,0.83,0.87,0.91,0.92,0.0403620590616856,0.83,0.87,0.91,0.92,0.0356195171219375,0.7025,geography
order_bias_gpt-4o_en,0.9075,0.91,0.91,0.9,0.91,0.0047714898280134,0.91,0.91,0.9,0.91,0.0043301270189221,0.7325,geography
order_bias_mistral-small_cot_en,0.8425,0.79,0.85,0.88,0.85,0.038803254690273,0.79,0.85,0.88,0.85,0.032691742076555,0.69,geography
order_bias_mistral-small_cot_zh,0.7725,0.7,0.81,0.8,0.78,0.05595992383751,0.7,0.81,0.8,0.78,0.0432290411644764,0.6775,geography
new_0.2_order_bias_mistral-small_cot_en,0.8425,0.8,0.87,0.87,0.83,0.0349846472479275,0.8,0.87,0.87,0.83,0.0294745653063789,0.695,geography
new_0.2_order_bias_mistral-small_cot_zh,0.725,0.65,0.77,0.75,0.73,0.0628305764078917,0.65,0.77,0.75,0.73,0.0455521678957214,0.6575,geography
order_bias_gpt-4o_zh,0.785,0.75,0.74,0.81,0.84,0.0529084322478858,0.75,0.74,0.81,0.84,0.0415331193145903,0.6675,engineering
order_bias_gpt-4o_en,0.8275,0.77,0.8,0.88,0.86,0.0536200584570962,0.77,0.8,0.88,0.86,0.0443705983732471,0.695,engineering
order_bias_mistral-small_cot_en,0.7625,0.71,0.76,0.78,0.8,0.0438658628205234,0.71,0.76,0.78,0.8,0.0334477204006491,0.65,engineering
order_bias_mistral-small_cot_zh,0.6875,0.59,0.69,0.73,0.74,0.0862822583105794,0.59,0.69,0.73,0.74,0.0593190525885233,0.64,engineering
new_0.2_order_bias_mistral-small_cot_en,0.68,0.64,0.71,0.67,0.7,0.0402737174636151,0.64,0.71,0.67,0.7,0.0273861278752582,0.625,engineering
new_0.2_order_bias_mistral-small_cot_zh,0.6225,0.58,0.61,0.66,0.64,0.0486921913774383,0.58,0.61,0.66,0.64,0.0303108891324553,0.635,engineering
order_bias_gpt-4o_zh,0.8725,0.84,0.88,0.86,0.91,0.0296391989478183,0.84,0.88,0.86,0.91,0.0258602010819715,0.7125,economics
order_bias_gpt-4o_en,0.9075,0.86,0.92,0.94,0.91,0.0324788598417399,0.86,0.92,0.94,0.91,0.0294745653063789,0.72,economics
order_bias_mistral-small_cot_en,0.8325,0.8,0.83,0.86,0.84,0.0260067688824155,0.8,0.83,0.86,0.84,0.0216506350946109,0.7075,economics
order_bias_mistral-small_cot_zh,0.7425,0.72,0.75,0.77,0.73,0.0258624435955172,0.72,0.75,0.77,0.73,0.0192028643696715,0.695,economics
new_0.2_order_bias_mistral-small_cot_en,0.78,0.75,0.79,0.81,0.77,0.0286675381730742,0.75,0.79,0.81,0.77,0.0223606797749979,0.6825,economics
new_0.2_order_bias_mistral-small_cot_zh,0.7325,0.71,0.72,0.77,0.73,0.0310936299629498,0.71,0.72,0.77,0.73,0.0227760839478607,0.6925,economics
order_bias_gpt-4o_zh,0.8475,0.84,0.84,0.86,0.85,0.0097835539538507,0.84,0.84,0.86,0.85,0.0082915619758885,0.7175,culture
order_bias_gpt-4o_en,0.915,0.88,0.88,0.96,0.94,0.0390241990630756,0.88,0.88,0.96,0.94,0.0357071421427142,0.7025,culture
order_bias_mistral-small_cot_en,0.8625,0.82,0.87,0.9,0.86,0.0331754293978539,0.82,0.87,0.9,0.86,0.028613807855649,0.7025,culture
order_bias_mistral-small_cot_zh,0.81,0.75,0.86,0.85,0.78,0.0572445586141709,0.75,0.86,0.85,0.78,0.0463680924774785,0.6875,culture
new_0.2_order_bias_mistral-small_cot_en,0.8275,0.81,0.84,0.85,0.81,0.021575312472939,0.81,0.84,0.85,0.81,0.017853571071357,0.6925,culture
new_0.2_order_bias_mistral-small_cot_zh,0.7,0.66,0.74,0.73,0.67,0.0505076272276105,0.66,0.74,0.73,0.67,0.0353553390593273,0.67,culture
order_bias_gpt-4o_zh,0.8825,0.86,0.88,0.9,0.89,0.0167594328133133,0.86,0.88,0.9,0.89,0.014790199457749,0.7125,computer science
order_bias_gpt-4o_en,0.885,0.9,0.85,0.88,0.91,0.0258902581635923,0.9,0.85,0.88,0.91,0.0229128784747792,0.725,computer science
order_bias_mistral-small_cot_en,0.79,0.79,0.77,0.82,0.78,0.0236813758656578,0.79,0.77,0.82,0.78,0.0187082869338696,0.6725,computer science
order_bias_mistral-small_cot_zh,0.74,0.69,0.76,0.76,0.75,0.0393983236138196,0.69,0.76,0.76,0.75,0.0291547594742265,0.6675,computer science
new_0.2_order_bias_mistral-small_cot_en,0.77,0.78,0.75,0.8,0.75,0.0275496148514239,0.78,0.75,0.8,0.75,0.0212132034355964,0.6625,computer science
new_0.2_order_bias_mistral-small_cot_zh,0.7275,0.7,0.73,0.73,0.75,0.0245409911633775,0.7,0.73,0.73,0.75,0.0178535710713571,0.6775,computer science
order_bias_gpt-4o_zh,0.825,0.81,0.81,0.84,0.84,0.0181818181818181,0.81,0.81,0.84,0.84,0.0149999999999999,0.71,chemistry
order_bias_gpt-4o_en,0.83,0.81,0.84,0.83,0.84,0.0147559623059227,0.81,0.84,0.83,0.84,0.0122474487139158,0.705,chemistry
order_bias_mistral-small_cot_en,0.72,0.68,0.75,0.74,0.71,0.0380362887156365,0.68,0.75,0.74,0.71,0.0273861278752582,0.6725,chemistry
order_bias_mistral-small_cot_zh,0.7,0.69,0.73,0.72,0.66,0.0391230398217975,0.69,0.73,0.72,0.66,0.0273861278752582,0.6625,chemistry
new_0.2_order_bias_mistral-small_cot_en,0.6475,0.62,0.68,0.66,0.63,0.0368316293983377,0.62,0.68,0.66,0.63,0.0238484800354236,0.66,chemistry
new_0.2_order_bias_mistral-small_cot_zh,0.6625,0.68,0.67,0.67,0.63,0.0289854556523343,0.68,0.67,0.67,0.63,0.0192028643696715,0.6575,chemistry
order_bias_gpt-4o_zh,0.875,0.85,0.87,0.89,0.89,0.0189521416591737,0.85,0.87,0.89,0.89,0.016583123951777,0.7,psychology
order_bias_gpt-4o_en,0.9525,0.94,0.94,0.96,0.97,0.013638195335188,0.94,0.94,0.96,0.97,0.0129903810567665,0.735,psychology
order_bias_mistral-small_cot_en,0.875,0.87,0.88,0.86,0.89,0.0127775312999988,0.87,0.88,0.86,0.89,0.0111803398874989,0.7025,psychology
order_bias_mistral-small_cot_zh,0.82,0.81,0.8,0.86,0.81,0.0286000960964842,0.81,0.8,0.86,0.81,0.0234520787991171,0.6875,psychology
new_0.2_order_bias_mistral-small_cot_en,0.8075,0.82,0.79,0.82,0.8,0.016087159203426,0.82,0.79,0.82,0.8,0.0129903810567665,0.6875,psychology
new_0.2_order_bias_mistral-small_cot_zh,0.785,0.77,0.77,0.82,0.78,0.02626181927145,0.77,0.77,0.82,0.78,0.0206155281280882,0.6875,psychology
